Id,Date,SMA_5,Volatility_20d,MACD,Open,RSI_14,Lag1_Close,Volume,SMA_20,Return_5d,BB_Lower,BB_Upper,BB_Width,Volatility_5d,High,Return_2d,Low,EMA_26,EMA_12,Return_1d,Close,Target_Return,Target_Direction
1,2000-01-04,100.5761,0.001063,-0.012066,100.6517,0.0,100.6517,398353.0,100.5761,-0.001503,100.3622,100.79,0.004254,0.001063,100.8834,-0.001503,100.1338,100.6405,100.6285,-0.001503,100.5005,0.008434,1
2,2000-01-05,100.8334,0.005356,0.046231,100.5005,84.857,100.5005,849436.0,100.8334,0.006918,99.9293,101.7375,0.017933,0.005356,102.004,0.006918,100.8443,100.6929,100.7392,0.008434,101.348,0.019616,1
3,2000-06-01,101.4591,0.009695,0.249973,101.348,94.9361,101.348,569995.0,101.4591,0.02667,98.8498,104.0684,0.051436,0.009695,103.4667,0.028215,103.2446,100.8887,101.1387,0.019616,103.3361,-0.002708,0
4,2000-01-07,101.7785,0.009379,0.384425,103.3361,86.803,103.3361,238093.0,101.7785,0.02389,99.1051,104.4519,0.052534,0.009379,104.278,0.016855,101.5061,101.0493,101.4337,-0.002708,103.0563,-0.002708,0
5,2000-01-10,102.2036,0.008927,0.463121,103.0563,79.971,103.0563,780511.0,101.945,0.021117,99.4186,104.4714,0.049564,0.009792,103.2067,-0.005409,102.2093,101.1773,101.6404,-0.002708,102.7772,0.020338,1
6,2000-01-11,103.077,0.010335,0.686249,102.7772,87.3992,102.7772,524382.0,102.3625,0.043453,99.1688,105.5561,0.062399,0.011346,105.2929,0.017575,103.6802,101.4506,102.1369,0.020338,104.8675,0.009956,1
7,2000-01-12,103.9897,0.009674,0.936531,104.8675,89.3686,104.8675,359295.0,102.8061,0.045028,98.9279,106.6843,0.075447,0.011361,106.8558,0.030497,104.969,101.7811,102.7176,0.009956,105.9116,-0.005661,0
8,2000-01-13,104.3849,0.009906,1.074123,105.9116,82.0087,105.9116,204637.0,103.0846,0.019121,99.0906,107.0785,0.077488,0.011018,105.9614,0.004239,104.7915,102.0426,103.1167,-0.005661,105.312,0.007099,1
9,2000-01-14,104.9856,0.009361,1.074123,105.312,83.6842,105.312,549835.0,103.3821,0.029143,99.1726,107.5915,0.081435,0.010417,106.5898,0.001398,105.6589,102.3402,103.5695,0.007099,106.0596,-0.005585,0
10,2000-01-17,105.5236,0.009466,1.289652,106.0596,83.6842,106.0596,407699.0,103.5716,0.026174,99.3849,107.7584,0.080847,0.011064,106.3165,0.001474,104.2632,102.5718,103.8615,-0.005585,105.4673,-0.005614,0
11,2000-01-18,105.5252,0.009468,1.274993,105.4673,72.9247,105.4673,478377.0,103.6803,7.4e-05,99.618,107.7425,0.078361,0.007814,105.5442,-0.011167,104.2024,102.7424,104.0174,-0.005614,104.8753,0.003292,1
12,2000-01-19,105.3869,0.009065,1.27652,104.8753,73.9028,104.8753,200265.0,103.7987,-0.006525,99.8167,107.7808,0.076726,0.006075,106.5395,-0.00234,104.6945,102.926,104.2025,0.003292,105.2205,-0.023584,0
13,2000-01-20,104.8723,0.011318,1.065209,105.2205,58.6688,105.2205,358854.0,103.723,-0.024433,99.8555,107.5906,0.074574,0.011844,103.1241,-0.02037,102.3473,102.9121,103.9774,-0.023584,102.7389,-0.021264,0
14,2000-01-21,103.7712,0.012392,0.713236,102.7389,49.6573,102.7389,562503.0,103.5118,-0.051908,99.4415,107.582,0.078643,0.01146,101.3759,-0.044347,99.7895,102.7375,103.4507,-0.021264,100.5542,-0.006823,0
15,2000-01-24,102.6514,0.012093,0.374618,100.5542,47.8578,100.5542,1130569.0,103.2841,-0.053089,98.9503,107.6178,0.083919,0.011338,99.9151,-0.027942,99.8241,102.5249,102.8996,-0.006823,99.8682,-0.012444,0
16,2000-01-25,101.4015,0.012067,0.00591,99.8682,41.0163,99.8682,399256.0,103.01,-0.059593,98.2441,107.776,0.092534,0.010963,99.2083,-0.019182,97.3446,102.2361,102.242,-0.012444,98.6254,0.004206,1
17,2000-01-26,100.1654,0.011774,-0.24994,98.6254,34.183,98.6254,399256.0,102.7895,-0.058736,97.8015,107.7775,0.097053,0.011288,99.3437,-0.008291,98.5023,101.9994,101.7494,0.004206,99.0402,-0.011139,0
18,2000-01-27,99.205,0.011684,-0.535552,99.0402,32.2289,99.0402,655841.0,102.5341,-0.046739,97.1997,107.8684,0.10405,0.009284,98.4713,-0.00698,97.0919,101.6984,101.1629,-0.011139,97.937,-0.017402,0
19,2000-01-28,98.3407,0.011924,-0.889175,97.937,29.3269,97.937,497272.0,102.219,-0.042978,96.3115,108.1266,0.115586,0.008151,98.3506,-0.028348,95.531,101.2936,100.4044,-0.017402,4811.634999999999,0.01888,1
20,2000-01-31,97.977,0.012819,-1.011166,96.2327,28.0844,96.2327,266686.0,102.0889,-0.018211,95.9269,108.2509,0.120719,0.014932,99.11,0.001149,96.5262,101.0533,100.0421,0.01888,98.0495,-0.002603,0
21,2000-02-01,97.8107,0.012823,-1.115578,98.0495,22.514,98.0495,272327.0,101.9536,-0.008427,95.5313,108.3758,0.125984,0.014096,98.2161,0.016227,97.4533,100.8119,99.6963,-0.002603,97.7943,0.001089,1
22,2000-02-02,97.5828,0.012633,-1.176171,97.7943,24.0381,97.7943,602456.0,101.7812,-0.011505,95.1103,108.4521,0.131083,0.013841,99.1723,-0.001516,97.1768,100.5962,99.4201,0.001089,97.9008,-0.017556,0
23,2000-03-02,97.2319,0.012061,-1.347349,97.9008,17.6027,97.9008,340017.0,101.4235,-0.017919,94.3487,108.4984,0.139511,0.015113,96.2287,-0.016486,96.1145,100.2693,98.9219,-0.017556,96.1821,-0.006599,0
24,2000-02-04,97.0948,0.012079,-1.347349,96.1821,17.554,96.1821,325239.0,101.0481,-0.007121,93.5536,108.5426,0.148336,0.013294,96.4374,-0.024039,95.0019,99.9195,98.4027,-0.006599,95.5474,0.001637,1
25,2000-02-07,96.6257,0.012136,-1.619687,95.5474,19.1221,95.5474,404212.0,100.6944,-0.023924,92.8826,108.5062,0.155159,0.007857,97.3539,-0.004972,94.026,99.6072,97.9875,0.001637,95.7038,-0.014162,0
26,2000-02-08,95.9365,0.010967,-1.790007,95.7038,15.7277,95.7038,407617.0,100.1685,-0.035235,92.1266,108.2103,0.160567,0.008701,94.5409,-0.012548,94.2522,99.2177,97.4277,-0.014162,94.3485,0.004984,1
27,2000-09-02,95.3201,0.010657,-1.865539,94.3485,21.4068,94.3485,694108.0,99.6138,-0.031482,91.7108,107.5169,0.158674,0.009733,95.0477,-0.009249,94.556,98.8918,97.0263,0.004984,94.8187,-0.007302,0
28,2000-02-10,94.9089,0.010665,-1.958691,94.8187,23.9918,94.8187,343606.0,99.0545,-0.021374,91.2671,106.842,0.157236,0.007632,94.8148,-0.002355,93.3262,98.5388,96.5801,-0.007302,94.1263,-0.003431,0
29,2000-11-02,94.5601,0.01026,-2.035115,94.1263,24.7181,94.1263,660412.0,98.4417,-0.018254,91.0567,105.8267,0.150038,0.007523,93.8806,-0.010708,93.7617,98.188,96.1529,-0.003431,93.8033,-0.007316,0
30,2000-02-14,94.0428,0.010263,-2.126542,93.8033,25.9208,93.8033,551199.0,98.4417,-0.027028,90.8593,104.7891,0.142396,0.006996,93.8851,-0.010722,92.5045,97.8124,95.6859,-0.007316,93.1171,0.023855,1
31,2000-02-15,94.2407,0.012265,-1.996743,93.1171,36.0248,93.1171,191568.0,97.3474,0.010492,91.1517,103.543,0.12729,0.013127,95.9647,0.016364,94.6831,97.6291,95.6324,0.023855,95.3383,6.8e-05,1
32,2000-02-16,94.346,0.012176,-1.871777,95.3383,39.3307,95.3383,512601.0,97.3474,0.005549,91.8381,101.869,0.103567,0.013046,95.6198,0.023924,94.9569,97.4599,95.5882,6.8e-05,95.3448,-0.013003,0
33,2000-02-17,94.3417,0.011532,-1.851433,95.3448,40.8947,95.3448,116555.0,96.4219,-0.000225,92.1012,100.7425,0.08962,0.014172,94.7087,-0.012935,93.4903,97.2114,95.36,-0.013003,94.1051,0.010658,1
34,2000-02-18,94.6027,0.011268,-1.734389,94.1051,36.4688,94.1051,282769.0,96.1496,0.013909,92.2606,100.0386,0.080894,0.014702,96.5262,-0.002484,93.3074,97.0556,95.3212,0.010658,95.108,-0.015029,0
35,2000-02-21,94.715,0.011571,-1.736947,95.108,32.9133,95.108,557678.0,95.8401,0.006031,92.2214,99.4588,0.075516,0.016348,94.1215,-0.004532,93.3845,96.8055,95.0685,-0.015029,93.6787,0.002874,1
36,2000-02-22,94.4369,0.011428,-1.697683,93.6787,33.8073,93.6787,440065.0,95.6062,-0.014585,92.1442,99.0682,0.072422,0.010899,94.0643,-0.012199,93.7962,96.5938,94.8961,0.002874,93.9479,-0.024155,0
37,2000-02-23,93.7036,0.012297,-1.8286,93.9479,32.3483,93.9479,182782.0,95.2381,-0.038453,91.7482,98.7281,0.073289,0.014154,91.8918,-0.021351,91.4638,96.2297,94.4011,-0.024155,91.6786,-0.01636,0
38,2000-02-24,92.9184,0.012514,-2.02998,91.6786,30.2936,91.6786,252816.0,94.8502,-0.041724,90.9257,98.7748,0.082752,0.014541,90.7916,-0.04012,89.7457,95.7815,93.7515,-0.01636,90.1787,0.002722,1
39,2000-02-25,91.9816,0.012189,-2.145042,90.1787,30.7464,90.1787,120035.0,94.5598,-0.049248,90.2275,98.8921,0.091631,0.012183,91.7165,-0.013683,88.7933,95.3846,93.2396,0.002722,90.4242,0.009588,1
40,2000-02-28,91.5041,0.011465,-2.141586,90.4242,38.4387,90.4242,226096.0,94.2219,-0.025487,89.9824,98.4614,0.08999,0.014408,91.3937,0.012336,91.222,95.0814,92.9398,0.009588,91.2911,0.0024,1
41,2000-02-29,91.0165,0.01154,-2.096996,91.2911,37.2469,91.2911,590976.0,93.9077,-0.025947,89.8556,97.9597,0.086298,0.014344,91.6219,0.012011,91.301,94.8169,92.7199,0.0024,91.5102,-0.001218,0
42,2000-03-01,90.9606,0.011506,-2.047055,91.5102,38.9933,91.5102,334798.0,93.5826,-0.003052,89.8486,97.3165,0.0798,0.009651,91.5753,0.001179,91.2886,94.5637,92.5166,-0.001218,91.3987,-0.003549,0
43,2000-03-02,91.1397,0.011012,-2.010477,91.3987,38.9888,91.3987,481649.0,93.3272,-0.003052,89.6435,97.0109,0.078942,0.004985,91.2098,-0.004763,90.9755,94.3052,92.2947,-0.003549,91.0743,-0.018221,0
44,2000-03-03,90.9378,0.011525,-2.09129,91.0743,36.1496,91.0743,445441.0,93.0205,-0.011162,89.1016,96.9395,0.08426,0.010242,90.0647,-0.021706,88.7276,93.943,91.8517,-0.018221,89.4148,-0.008792,0
45,2000-03-06,90.4053,0.011529,-2.193485,89.4148,21.8788,89.4148,449680.0,92.6668,-0.029164,88.4983,96.8353,0.089968,0.008008,88.7537,-0.026853,88.569,93.5493,91.3558,-0.008792,88.6287,-0.00555,0
46,2000-03-07,89.7307,0.011278,-2.287795,88.6287,20.9712,88.6287,737901.0,92.3562,-0.036864,87.807,96.9054,0.098514,0.006624,88.603,-0.014293,87.6972,93.1484,90.8606,-0.00555,88.1368,0.013649,1
47,2000-03-08,89.3189,0.01177,-2.239649,88.1368,30.7516,88.1368,399730.0,92.0823,-0.022527,87.4977,96.6668,0.099575,0.011598,89.5665,0.008023,89.1673,92.8663,90.6266,0.013649,89.3398,0.004578,1
48,2000-03-09,89.0538,0.011836,-2.14378,89.3398,27.2614,89.3398,697553.0,91.8634,-0.014555,87.2717,96.455,0.099967,0.012311,90.2282,0.018289,89.3597,92.6353,90.4916,0.004578,89.7487,-0.021734,0
49,2000-03-10,88.7304,0.01261,-2.199845,89.7487,26.1067,89.7487,128197.0,91.5631,-0.018081,86.7267,96.3995,0.105641,0.013454,87.9431,-0.017256,87.487,92.277,90.0772,-0.021734,87.7981,0.004331,1
50,2000-03-13,88.6403,0.01268,-2.188371,87.7981,26.7673,87.7981,771207.0,91.3162,-0.005082,86.3124,96.3199,0.109592,0.01346,90.0559,-0.017498,86.3344,91.9734,89.785,0.004331,88.1783,-0.004603,0
51,2000-03-14,88.5675,0.01104,-2.18682,88.1783,31.4936,88.1783,232108.0,90.9379,-0.004134,86.0724,95.8034,0.107007,0.013386,88.0515,-0.000292,87.219,91.6622,89.4754,-0.004603,87.7724,-0.008256,0
52,2000-03-15,88.1091,0.011033,-2.218491,87.7724,33.9904,87.7724,258727.0,90.523,-0.025655,85.8278,95.2183,0.103737,0.010834,87.2891,-0.012821,86.6303,91.3204,89.1019,-0.008256,87.0478,0.007976,1
53,2000-03-16,87.7077,0.011177,-2.162636,87.0478,36.8874,87.0478,311044.0,90.2049,-0.022359,85.6721,94.7377,0.1005,0.01167,88.1525,-0.000346,87.1763,91.0554,88.8927,0.007976,87.7421,0.013315,1
54,2000-03-17,87.9302,0.011367,-2.001031,87.7421,36.8874,87.7421,760649.0,89.895,0.012669,85.9665,93.8236,0.087403,0.008894,89.5837,0.021398,88.4777,90.8965,88.8954,0.013315,88.9104,0.012043,1
55,2000-03-20,88.2908,0.011508,-1.766197,88.9104,43.2819,88.9104,283608.0,89.7101,0.020445,86.2062,93.214,0.078116,0.009893,90.3422,0.025519,89.7768,90.8287,89.0625,0.012043,89.9811,-0.010282,0
56,2000-03-21,88.5475,0.011594,-1.635886,89.9811,40.3937,89.9811,318715.0,89.4655,0.014624,86.5785,92.3525,0.064539,0.011358,89.2012,0.001637,88.8075,90.6974,89.0615,-0.010282,89.056,-0.003651,0
57,2000-03-22,88.8841,0.010437,-1.541085,89.056,40.3912,89.056,273527.0,89.3181,0.019335,86.6115,92.0248,0.060606,0.010365,89.3286,-0.013895,87.6314,90.5517,89.0106,-0.003651,88.7308,0.004421,1
58,2000-03-23,89.1603,0.010437,-1.417952,88.7308,48.6654,88.7308,502674.0,89.2654,0.01574,86.5884,91.9424,0.059978,0.010133,89.4632,0.000754,88.6245,90.4459,89.0279,0.004421,89.1232,0.012608,1
59,2000-03-24,89.4276,0.010319,-1.417952,89.1232,57.1821,89.1232,641653.0,89.2565,0.015031,86.5946,91.9185,0.059647,0.009959,91.2444,0.017085,89.5603,90.4311,89.2154,0.012608,90.2468,-0.005782,0
60,2000-03-27,89.3763,0.010134,-1.084991,90.2468,57.0306,90.2468,1037331.0,89.1782,-0.002847,86.6812,91.6752,0.056,0.009077,89.8561,0.006753,89.6305,90.3788,89.2938,-0.005782,89.725,-0.002099,0
61,2000-03-28,89.4725,0.010109,-0.985251,89.725,50.9576,89.725,1468730.0,89.0795,0.005397,86.8265,91.3325,0.050584,0.007477,89.67,-0.007869,89.275,90.3164,89.3312,-0.002099,89.5366,-0.013607,0
62,2000-03-29,89.39,0.010493,-0.993067,89.5366,43.5506,89.5366,612369.0,88.9255,-0.004649,86.9341,90.9169,0.044789,0.009969,88.764,-0.015677,87.9598,90.1684,89.1754,-0.013607,88.3183,-0.014723,0
